Filename,Mean_F0_(Hz),experiment
p_01-20240522-1109-01.wav,100.21,vowels_only
p_01-20240522-1109-02.wav,121.13,vowels_only
p_01-20240522-1109-03.wav,90.53,vowels_only
p_01-20240522-1109-04.wav,90.6,vowels_only
p_01-20240522-1109-05.wav,167.18,vowels_only
p_01-20240522-1109-06.wav,163.03,vowels_only
p_01-20240522-1109-07.wav,100.35,vowels_only
p_01-20240522-1109-08.wav,190.78,vowels_only
p_01-20240522-1109-09.wav,230.31,vowels_only
p_01-20240522-1109-10.wav,79.69,vowels_only
p_01-20240522-1109-11.wav,88.33,vowels_only
p_01-20240522-1109-12.wav,318.06,vowels_only
p_01-20240522-1109-13.wav,84.33,vowels_only
p_01-20240522-1109-14.wav,80.78,vowels_only
p_01-20240522-1109-15.wav,110.23,vowels_only
p_01-20240522-1109-16.wav,87.82,vowels_only
p_01-20240522-1109-17.wav,96.52,vowels_only
p_01-20240522-1109-18.wav,98.2,vowels_only
p_01-20240522-1109-19.wav,91.06,vowels_only
p_01-20240522-1109-20.wav,74.03,vowels_only
p_01-20240522-1109-21.wav,89.77,vowels_only
p_01-20240522-1109-22.wav,178.85,vowels_only
p_01-20240522-1109-23.wav,92.37,vowels_only
p_01-20240522-1109-24.wav,107.32,vowels_only
p_01-20240522-1109-25.wav,86,vowels_only
p_01-20240522-1109-26.wav,191.56,vowels_only
p_01-20240522-1109-27.wav,152.41,vowels_only
p_01-20240522-1109-28.wav,162.44,vowels_only
p_01-20240522-1109-29.wav,199.02,vowels_only
p_01-20240522-1109-30.wav,167.64,vowels_only
p_01-20240522-1109-31.wav,88.34,vowels_only
p_01-20240522-1109-32.wav,96.86,vowels_only
p_01-20240522-1109-33.wav,152.49,vowels_only
p_01-20240522-1109-34.wav,86.88,vowels_only
p_01-20240522-1109-35.wav,88.06,vowels_only
p_01-20240522-1109-36.wav,408.77,vowels_only
p_01-20240522-1109-37.wav,169.72,vowels_only
p_01-20240522-1109-38.wav,85.79,vowels_only
p_01-20240522-1109-39.wav,189.02,vowels_only
p_01-20240522-1109-40.wav,224.39,vowels_only
p_01-20240522-1109-41.wav,80.97,vowels_only
p_01-20240522-1109-42.wav,94.18,vowels_only
p_01-20240522-1109-43.wav,97.49,vowels_only
p_01-20240522-1109-44.wav,170.16,vowels_only
p_01-20240522-1109-45.wav,256.41,vowels_only
p_01-20240522-1109-46.wav,92.35,vowels_only
p_01-20240522-1109-47.wav,82.85,vowels_only
p_01-20240522-1109-48.wav,87.98,vowels_only
p_01-20240522-1109-49.wav,96.64,vowels_only
p_01-20240522-1109-50.wav,375.56,vowels_only
p_01-20240522-1109-51.wav,87.16,vowels_only
p_01-20240522-1109-52.wav,75.37,vowels_only
p_01-20240522-1109-53.wav,85.66,vowels_only
p_01-20240522-1109-54.wav,76.72,vowels_only
p_01-20240522-1109-55.wav,188.27,vowels_only
p_01-20240522-1109-56.wav,177.67,vowels_only
p_01-20240522-1109-57.wav,79.45,vowels_only
p_01-20240522-1109-58.wav,80.22,vowels_only
p_01-20240522-1109-59.wav,217.54,vowels_only
p_01-20240522-1109-60.wav,171.66,vowels_only
p_01-20240522-1109-61.wav,120.98,vowels_only
p_01-20240522-1109-62.wav,106.38,vowels_only
p_01-20240522-1109-63.wav,82.47,vowels_only
p_01-20240522-1109-64.wav,78.68,vowels_only
p_01-20240522-1119-01.wav,87.05,vowel_and_t
p_01-20240522-1119-02.wav,106.7,vowel_and_t
p_01-20240522-1119-03.wav,78.27,vowel_and_t
p_01-20240522-1119-04.wav,76.66,vowel_and_t
p_01-20240522-1119-05.wav,103.17,vowel_and_t
p_01-20240522-1119-06.wav,78.06,vowel_and_t
p_01-20240522-1119-07.wav,79.19,vowel_and_t
p_01-20240522-1119-08.wav,75.64,vowel_and_t
p_01-20240522-1119-09.wav,83.43,vowel_and_t
p_01-20240522-1119-10.wav,78.05,vowel_and_t
p_01-20240522-1119-11.wav,83.93,vowel_and_t
p_01-20240522-1119-12.wav,75.6,vowel_and_t
p_01-20240522-1119-13.wav,80.02,vowel_and_t
p_01-20240522-1119-14.wav,79.38,vowel_and_t
p_01-20240522-1119-15.wav,100.33,vowel_and_t
p_01-20240522-1119-16.wav,93.87,vowel_and_t
p_01-20240522-1119-17.wav,80.11,vowel_and_t
p_01-20240522-1119-18.wav,77.82,vowel_and_t
p_01-20240522-1119-19.wav,83.54,vowel_and_t
p_01-20240522-1119-20.wav,83.49,vowel_and_t
p_01-20240522-1119-21.wav,104.4,vowel_and_t
p_01-20240522-1119-22.wav,83.87,vowel_and_t
p_01-20240522-1119-23.wav,83.09,vowel_and_t
p_01-20240522-1119-24.wav,113.52,vowel_and_t
