"participant","stimulus","stimulus_voice","word_pair","vowel_1","vowel_2","vs","vowel_same","v1_type","v2_type","v_types","v_types_shorthand","vm1","vm2","manipulation_matching","block","binary_response","binary_response_numeric"
"exp102","badkick-p05-ii","p05","badkick","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","KITInnovative",TRUE,1,"strong NZ accent",0
"exp102","bigfig-p04-ii","p04","bigfig","KIT","KIT","KITKIT",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","KITInnovative",TRUE,1,"strong NZ accent",0
"exp102","badfig-p07-cc","p07","badfig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","KITConservative",TRUE,1,"not strong NZ accent",1
"exp102","badgig-p06-ci","p06","badgig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","KITInnovative",FALSE,1,"strong NZ accent",0
"exp102","badbid-p08-ci","p08","badbid","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","KITInnovative",FALSE,1,"strong NZ accent",0
"exp102","badfig-p04-cc","p04","badfig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","KITConservative",TRUE,1,"not strong NZ accent",1
"exp102","kiddig-p06-cc","p06","kiddig","KIT","KIT","KITKIT",TRUE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","KITConservative",TRUE,1,"not strong NZ accent",1
"exp102","kickback-p05-ii","p05","kickback","KIT","TRAP","KITTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","TRAPInnovative",TRUE,1,"strong NZ accent",0
"exp102","thickpig-p07-ci","p07","thickpig","KIT","KIT","KITKIT",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","KITInnovative",FALSE,1,"not strong NZ accent",1
"exp102","pickdad-p04-ci","p04","pickdad","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,1,"not strong NZ accent",1
"exp102","badbag-p08-cc","p08","badbag","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,1,"not strong NZ accent",1
"exp102","bigdad-p04-ci","p04","bigdad","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,1,"strong NZ accent",0
"exp102","bigbag-p07-ci","p07","bigbag","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,1,"not strong NZ accent",1
"exp102","bigdad-p05-cc","p05","bigdad","KIT","TRAP","KITTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","TRAPConservative",TRUE,1,"not strong NZ accent",1
"exp102","badkid-p01-cc","p01","badkid","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","KITConservative",TRUE,1,"strong NZ accent",0
"exp102","bigpig-p05-ci","p05","bigpig","KIT","KIT","KITKIT",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","KITInnovative",FALSE,1,"strong NZ accent",0
"exp102","kiddig-p06-ii","p06","kiddig","KIT","KIT","KITKIT",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","KITInnovative",TRUE,1,"strong NZ accent",0
"exp102","badkid-p01-ii","p01","badkid","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","KITInnovative",TRUE,1,"strong NZ accent",0
"exp102","badbag-p07-ii","p07","badbag","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,1,"not strong NZ accent",1
"exp102","baddad-p04-ii","p04","baddad","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,1,"not strong NZ accent",1
