"participant","prompt","stimulus","stimulus_voice","word_pair","variable_1","variable_2","vs","variable_same","v1_type","v2_type","v_types","v_types_shorthand","vm1","vm2","manipulation_matching","block","dimension","slider_response"
"exp101","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>badder cotton</p>","baddercotton-p07-cr","p07","baddercotton","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,1,"education",0.665
"exp101","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>cabin gutter</p>","cabingutter-p04-cr","p04","cabingutter","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,1,"education",0.576
"exp101","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>party cotton</p>","partycotton-p05-ss","p05","partycotton","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","ss","tConservative","tConservative",TRUE,1,"education",0.417
"exp101","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>dotty dagger</p>","dottydagger-p04-sc","p04","dottydagger","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","sc","tConservative","TRAPConservative",TRUE,1,"education",0.705
"exp101","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>party cotton</p>","partycotton-p06-sr","p06","partycotton","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","sr","tConservative","tInnovative",FALSE,1,"education",0.576
"exp101","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>dotty garter</p>","dottygarter-p01-rs","p01","dottygarter","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","rs","tInnovative","tConservative",FALSE,1,"education",0.452
"exp101","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>dapper dagger</p>","dapperdagger-p05-ic","p05","dapperdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,1,"education",0.462
"exp101","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>badder dagger</p>","badderdagger-p08-ii","p08","badderdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,1,"education",0.942
"exp101","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>tagger cabin</p>","taggercabin-p01-ic","p01","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,1,"education",0.571
"exp101","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>baggy cotton</p>","baggycotton-p07-is","p07","baggycotton","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","is","TRAPInnovative","tConservative",FALSE,1,"education",0.405
